,one,two,three,four,key
91,1.516233,0.312458,-0.313024,-1.599123,N
92,-0.848521,-0.936245,0.333173,-0.257902,H
93,-1.534114,1.277677,0.332314,-0.748487,B
94,1.275463,-0.091566,0.937073,-0.569326,L
95,1.026580,0.166088,-1.020383,-0.269094,O
96,1.396794,-0.389910,1.149623,0.525212,G
97,1.058424,-1.758739,-1.183259,-2.039232,B
98,0.200134,-2.170866,-0.486714,1.334446,W
99,1.905907,0.227602,-0.194670,1.419673,Q
100,-1.703382,-0.055548,0.384065,-0.032695,U
101,-1.148055,-0.602256,-1.819300,0.914606,O
102,-1.101252,0.487673,0.747368,-0.290692,C
103,0.467780,0.015064,-1.365665,0.504107,U
104,-0.530258,-0.792873,-0.107030,-1.035242,Z
105,-1.218490,-1.160325,-0.041626,-0.900116,V
106,0.851354,-0.620364,-0.736412,0.579504,O
107,0.799691,0.069006,0.768727,-0.780343,N
108,1.644968,-0.249036,0.576557,0.311250,N
109,-0.358209,0.901863,-0.871247,-0.226749,W
110,-0.186905,-0.047791,-1.061263,-0.654373,Z
111,-1.560506,0.206689,-0.349784,-2.110700,J
112,-0.007973,1.479944,0.077368,-0.861284,B
113,2.084477,1.390903,-2.007568,1.067456,E
114,1.395732,-1.309649,-1.913778,0.941285,M
115,0.496578,-0.194251,-0.206239,-2.277950,K
116,0.173966,0.907872,-0.008791,0.451411,F
117,0.528317,0.207503,2.043320,1.619612,S
118,-0.430792,0.494567,0.640582,-0.814784,L
119,0.259723,-0.904317,0.638592,-1.661520,K
120,-0.197963,0.476828,-1.729580,1.241714,X
121,-0.601969,0.760251,1.106329,0.771638,K
122,2.389878,-0.604414,-0.213207,0.159533,E
123,0.371146,-0.603985,0.086590,-0.155677,V
124,0.531917,0.696351,0.516125,0.475494,E
125,0.543483,1.034921,-2.208107,0.360778,M
126,1.709292,0.824900,1.772378,-0.398373,S
127,0.707924,2.208451,1.998050,-1.579521,Q
128,-0.239179,0.823105,0.892411,0.095620,S
129,-2.289061,1.432482,1.214722,-0.880864,J
130,0.338496,-0.415288,0.632782,2.270693,G
131,0.828153,1.009895,-0.496859,0.387845,D
132,1.509771,0.402034,-0.347527,0.829139,F
133,-2.244803,0.675809,2.257198,-0.933638,O
134,-0.444293,0.377300,0.756989,-0.922165,B
135,0.027265,-0.135100,1.706164,0.517016,E
136,-1.177786,-0.680262,-1.679459,-0.605063,K
137,0.279969,-1.125489,2.445752,0.129221,O
138,0.643354,1.564705,1.204971,0.672425,Z
139,-0.627419,-0.495389,0.418839,-0.389288,A
140,0.055725,1.094192,-1.692465,1.529550,I
141,-0.796503,0.660775,0.475319,1.318839,C
142,0.852246,-2.320737,-0.229880,0.628140,R
143,0.840527,-0.038492,-0.443480,0.082656,S
144,0.471688,-1.529764,1.038826,-0.698216,K
145,-1.017192,0.516669,-0.799111,-0.164536,H
146,2.573360,0.059218,0.013929,-0.024125,X
147,-0.114844,0.155037,2.569927,-1.107104,R
148,1.039992,-1.000620,2.429848,1.949733,Q
149,1.246085,-2.073390,-0.342688,-0.371441,W
150,-0.149878,0.527765,0.833224,-1.326539,A
151,0.935678,1.271555,0.721672,-1.129052,H
152,0.098746,-0.130345,0.500478,-1.053259,O
153,0.861965,0.623399,0.013001,0.061569,N
154,-0.360966,1.159330,-1.081063,0.615936,W
155,-1.669779,1.764687,-1.241501,-0.816305,B
156,-0.329331,-0.096826,-0.475531,1.015687,I
157,-1.753469,-0.544922,0.971823,-0.030958,Q
158,2.278479,-2.784004,0.869740,1.057125,Y
159,-0.622855,-0.418143,-1.288447,0.100817,W
160,0.950178,0.539572,1.346746,0.126793,I
161,0.408253,-1.702584,1.029156,0.472597,W
162,-0.898800,-0.909634,-0.906579,0.844442,M
163,-1.003758,0.510296,-0.158101,0.806593,Z
164,-1.854786,-0.989583,0.147208,-0.222541,U
165,-0.225006,1.207592,0.230487,0.432309,H
166,-0.949399,2.632382,0.493318,0.184836,E
167,-1.754787,-0.123894,-1.231958,0.145227,T
168,-0.005336,-0.658769,-1.689557,0.987122,Z
169,-2.119357,-0.350865,-1.045913,-1.780557,K
170,-0.944691,2.302912,0.985723,-0.594465,Q
171,-1.319348,-0.226245,1.064569,0.119606,H
172,1.284533,0.689036,0.837697,1.367985,H
173,-0.070166,-1.660961,0.429618,0.207688,W
174,-1.250996,2.605977,-0.732940,-0.361461,G
175,0.446640,-0.213272,1.129069,-0.080416,G
176,1.356633,-2.712490,1.347856,1.297406,X
177,-0.434496,-0.309172,0.222134,-0.478749,H
178,-2.080018,-1.284141,1.333860,0.317815,D
179,-0.650585,1.043546,0.867765,0.283032,J
180,-0.218104,0.995858,0.256161,-0.019882,W
181,-0.437666,-1.186335,2.597705,-0.650371,L
182,-1.681820,-1.758599,-0.872631,0.793658,C
183,-1.861349,-0.299739,0.454563,0.744038,E
184,-0.034685,0.234215,1.550500,-0.998354,L
185,0.563079,-1.532527,0.831543,0.207613,B
186,1.167103,1.621109,-1.569960,0.073963,B
187,-0.415867,-0.104050,0.515273,1.194182,W
188,1.420504,-0.570746,-0.832356,0.471416,C
189,-0.705211,-0.703620,2.357376,0.937838,N
190,-0.133058,1.125679,-1.493830,-0.716056,I
191,-0.069023,-0.187579,0.125155,0.229645,B
192,-1.748547,-1.257340,0.884101,-0.950684,Z
193,0.551068,0.038878,0.043272,1.030473,S
194,-0.489439,1.044161,0.681891,1.846707,M
195,0.157362,1.731321,-0.378293,0.546779,P
196,0.820482,0.507274,1.066675,1.169296,F
197,0.194853,-0.158674,-0.041621,0.556057,W
198,0.229628,-0.152471,-0.810776,0.862263,B
199,0.817753,-1.489393,0.024642,0.089956,B
200,0.645484,2.163255,-0.307778,0.219150,G
201,0.538022,0.047954,1.208982,-1.441494,E
202,-0.446434,0.194090,1.073632,-1.026515,V
203,-0.233991,1.846806,-0.586548,1.910805,C
204,-1.705087,1.382904,1.136605,-0.456967,K
205,-0.555200,1.881157,-1.448014,-2.198806,G
206,1.298660,0.107680,0.834086,-0.494703,O
207,1.121853,1.310544,-0.222413,-1.146959,U
208,-1.846772,-0.566669,1.163485,-0.929332,B
209,-1.251539,1.443765,-0.082151,1.117296,H
210,-0.418920,-0.481773,1.626519,-2.481295,G
211,-0.944369,0.323246,1.249202,0.491405,Y
212,-1.426126,0.606165,-1.486771,0.316426,V
213,-1.591405,0.564701,-0.634605,0.995752,M
214,-0.118998,-1.177897,-0.937022,1.618802,O
215,-1.583903,0.760415,0.785800,0.425458,F
216,0.257997,0.469117,-0.620604,0.436714,L
217,2.402026,-0.022603,0.524889,1.781625,R
218,0.208383,-2.041735,-0.247177,-0.681984,A
219,-0.471108,1.075124,0.632116,-0.978767,O
220,-0.493463,-0.444983,0.275511,-0.798545,C
221,0.210568,0.880296,1.475853,1.523684,I
222,0.698223,0.393485,0.895193,0.635172,O
223,0.114533,0.950145,-0.197953,1.317278,C
224,1.685648,-0.460295,1.732215,1.075083,Y
225,-0.320347,0.424166,0.522835,-0.573700,W
226,0.505991,-1.997411,-0.843373,-0.013550,S
227,-0.502256,0.211595,1.091046,-0.110733,Z
228,-0.483186,1.573987,-1.225766,-1.464375,T
229,3.104867,0.347403,2.593572,0.412218,Z
230,-0.105392,1.780829,-1.632952,-0.572768,S
231,-0.888211,-1.363040,-0.672489,-2.284820,U
232,-0.625563,0.395804,0.494030,0.260674,W
233,-1.385585,1.444312,-2.609842,0.378569,F
234,-1.650491,-0.050423,-0.156730,1.062402,X
235,1.811692,0.884726,0.268217,-0.713617,Y
236,-1.294681,1.160827,-0.467701,0.346504,M
237,-0.766953,-0.760149,-0.150420,0.995549,P
238,-2.095158,0.254174,-0.259250,1.233687,T
239,0.587763,0.115152,-0.742020,-1.304655,Y
240,-1.636725,1.205691,1.494689,0.177756,X
241,0.362656,1.298739,-0.303308,0.379726,T
242,-0.071601,-0.037222,0.727630,0.051946,A
243,-0.130916,-1.034955,-0.189994,0.448390,Q
244,1.715756,0.771882,-0.480946,-2.455125,K
245,0.067754,0.400114,0.148032,-1.674298,W
246,-0.871134,0.403390,-0.938468,0.644268,W
247,-0.394422,-0.427286,-0.720790,0.483892,F
248,-0.190682,0.217433,0.870068,0.495682,Z
249,-0.102844,-0.026794,0.668468,-0.516897,O
250,-0.448921,0.067499,0.197566,0.449228,A
251,0.618029,0.141037,0.505940,0.990353,I
252,0.302635,-0.754276,-0.064138,0.328762,P
253,-0.334508,0.206191,-0.604339,-0.326704,B
254,-1.684785,-0.933722,1.046920,0.569950,R
255,-0.364202,0.752876,-0.319557,0.948177,V
256,-1.340529,1.164435,1.338115,1.586374,O
257,-0.885163,1.552562,-1.552727,-0.303536,Q
258,-0.303032,-0.034703,-1.188487,0.312079,N
259,-0.688150,2.252436,0.981765,-0.324831,P
260,0.089608,-1.181394,-0.149988,-1.634295,K
261,0.679973,0.575469,-0.252686,0.392085,K
262,-1.217305,-0.482047,-1.397518,-0.095245,N
263,-1.692957,-0.098340,-0.988591,-1.103589,O
264,2.455776,0.978894,0.254249,-0.479412,B
265,-0.603324,-1.586812,-0.134268,-0.159224,L
266,0.105376,-1.334025,-0.601368,0.319782,J
267,-0.822621,-0.150342,-0.461630,1.152333,M
268,0.471961,0.139215,1.206153,0.383972,V
269,1.325269,0.422013,-1.059392,0.477554,Y
270,-1.243863,-0.692905,-0.718407,0.894924,S
271,0.435556,0.892264,0.586678,0.681006,J
272,2.222696,-1.237821,0.524363,-0.734910,B
273,2.468052,-1.892184,-0.547490,-0.937780,C
274,0.963879,2.210523,-0.557492,-1.369803,Y
275,0.314383,-0.002084,0.414542,-0.772304,C
276,-1.868200,-1.974137,1.042609,-0.519853,D
277,0.568983,1.628397,-0.379128,-0.203580,H
278,1.130703,1.715702,-1.687249,-1.253125,F
279,-0.586564,-0.197535,-0.759040,0.033459,E
280,0.196168,-0.601887,0.631291,-1.556616,C
281,-1.993736,0.374057,1.227669,-1.209641,W
282,-1.499587,-1.329643,-0.012278,0.113400,T
283,0.096434,-0.680887,-0.990692,0.629414,P
284,-1.556007,-1.821905,-2.335573,-0.499297,W
285,-1.092313,-0.316408,1.213098,0.141717,U
286,-0.236580,-0.396394,0.425179,0.335658,U
287,0.503736,0.582396,-1.070594,-0.889746,B
288,-1.536452,-1.190649,0.060029,-1.610844,C
289,-1.103367,-2.152891,0.388579,2.493000,C
290,0.365301,1.402072,-1.993931,1.218337,L
291,-0.438587,1.166303,0.568441,0.599594,T
292,-0.546260,0.981069,0.712271,0.120226,B
293,-0.025027,0.817766,1.390208,0.557810,T
294,-2.525719,0.063957,-0.371713,-0.992313,H
295,0.950796,-3.388428,-0.108038,-0.068791,L
296,-0.070499,0.486502,0.064474,-1.975467,R
297,0.725767,-0.458957,-1.656433,1.256436,S
298,-1.331230,0.278329,-0.079079,-1.480284,R
299,0.148667,-0.337086,-0.613403,-0.302470,P
300,0.937258,1.521330,-1.274369,0.626076,E
301,-1.534299,0.912435,0.499527,2.288682,G
302,0.877079,0.673565,1.714527,-1.059386,C
303,-1.170113,-1.801980,0.541463,0.759155,V
304,-0.232672,-1.046478,0.386965,1.367657,W
305,0.108846,-1.118631,-0.994106,-0.030939,K
306,1.196572,-0.158530,-0.027305,-0.933268,D
307,-0.389597,0.553833,1.091551,0.533014,T
308,-0.307095,1.026154,0.291450,-0.730682,I
309,-0.605616,1.826010,0.677926,-0.487911,Z
310,0.808929,-0.710453,-0.018349,1.311784,H
311,0.276544,0.799499,-0.640493,0.168395,X
312,-0.030115,0.259218,0.793056,1.227752,S
313,-1.347126,-0.971614,1.200414,-0.656894,G
314,-0.610890,1.194532,1.244034,-2.203160,V
315,-0.781713,0.879593,0.607131,1.311159,B
316,-0.861384,-0.880462,0.962199,-0.052860,J
317,-0.643518,0.927840,0.057013,0.268592,U
318,0.040987,0.829474,-1.073629,0.364273,J
319,0.556821,-0.210370,-0.594776,-1.281298,N
320,2.056207,-1.103208,-0.221254,-0.276813,N
321,-1.212457,1.135485,-0.349978,0.549475,O
322,0.837563,-0.813645,1.213731,-0.140043,H
323,-1.293559,0.234138,-0.146999,-0.364467,V
324,0.399688,-0.651357,-0.528617,0.586364,S
325,-0.424199,-0.940149,1.478127,-0.495697,A
326,-1.899176,0.078429,1.811375,0.623549,G
327,1.001952,0.205027,-1.193155,-0.232893,Z
328,-0.209023,-0.850520,-0.580523,0.588578,J
329,0.759211,0.583886,1.544526,0.945194,P
330,0.277983,1.454811,-1.449857,-1.106308,S
331,-0.106062,1.221997,-1.071254,0.005852,O
332,1.726964,-0.399636,0.224685,0.932591,E
333,-0.393981,-0.411826,-1.444557,-1.661279,G
334,2.214252,-0.296017,0.126449,-0.687937,W
335,-0.244200,0.110821,2.512408,-0.338860,S
336,0.778361,-0.551186,-0.818199,-0.003374,V
337,1.067599,0.848330,0.081563,1.306557,M
338,-0.431796,-0.886042,-0.843261,-0.135243,T
339,0.773100,0.882216,-0.879051,-0.539934,F
340,1.221034,0.582098,-0.226484,-0.959439,N
341,0.850094,0.875716,0.356167,0.048675,C
342,-0.527777,0.771439,-1.895965,0.170298,U
343,-0.583412,-1.300902,-1.400205,-2.806217,U
344,-1.169917,-2.872262,-0.027515,1.772252,A
345,-0.274228,-0.999313,-0.053745,0.812957,U
346,-0.976375,-0.892456,0.355022,-0.221113,X
347,-0.066529,0.245278,1.160222,-0.239297,F
348,-0.021367,-0.747212,-2.424240,0.884045,G
349,-0.150836,-0.236999,0.351289,1.689893,X
350,0.702407,0.096750,-0.109549,-0.604012,N
351,0.794265,-1.254289,0.293558,-1.356582,S
352,0.307065,-0.131403,-0.823118,-0.164179,V
353,1.017501,2.663182,-0.295541,0.152316,V
354,2.173738,0.940322,0.551320,-0.435204,J
355,0.436560,0.903935,-2.362932,-1.009731,G
356,-0.710760,0.073770,1.397226,0.057013,J
357,-2.133133,-0.036533,0.128452,1.065861,D
358,0.122670,1.624678,0.323079,-0.252354,V
359,-0.497499,-0.688504,0.086073,0.638783,Z
360,1.828594,2.018966,-0.268468,-0.696940,L
361,-0.180480,3.193108,0.298753,-0.751791,Y
362,-0.813355,-0.205280,-1.357403,-0.262783,L
363,-1.830768,0.200652,0.362571,1.368422,U
364,1.049654,-1.380543,-2.759597,1.063375,F
365,-0.643550,1.029961,-0.334775,-0.403648,H
366,0.297982,0.760905,-0.199529,-1.163189,F
367,0.340118,-0.542468,-1.057716,-0.041015,M
368,0.389887,-0.772370,-0.502103,0.558691,E
369,0.483773,-0.235416,0.285985,-0.428843,Y
370,1.317115,-0.118069,-2.121855,-0.607822,B
371,0.134185,0.112788,-1.623957,0.161563,X
372,0.243633,-0.459091,0.857092,-0.168901,S
373,1.615376,-0.322320,1.217159,1.521316,V
374,0.795703,0.618664,-0.477002,0.666450,A
375,0.372435,-0.790066,1.194674,-1.121381,O
376,0.283288,-0.258905,0.586694,-0.474904,W
377,-0.224255,-0.594177,-0.335980,0.432729,O
378,1.028683,-1.316749,0.723611,0.667461,M
379,0.282208,0.746560,-0.379330,-1.138668,N
380,1.107081,-0.120381,-2.172670,0.847422,N
381,-0.377651,-0.016399,-0.405625,-0.067391,F
382,0.709452,-0.435486,0.513106,-0.259547,J
383,0.843414,0.495213,0.038866,0.154316,I
384,0.888663,-0.526755,0.659381,-0.386477,N
385,-0.380376,-0.282019,-0.119873,-0.218621,I
386,-0.019420,-0.303180,0.799942,-1.616311,C
387,0.745404,-0.885916,-0.655636,0.148751,H
388,-0.357102,0.794383,0.559159,2.252887,Q
389,-0.558109,-1.692119,0.852351,-0.684518,U
390,-0.733788,0.036063,0.347530,1.163509,A
391,0.181587,1.709161,-1.120423,-0.109938,S
392,-0.137449,0.952875,1.612278,1.314914,T
393,0.579909,1.199659,-0.811490,0.388720,D
394,-0.256588,-2.402754,0.424234,0.143339,B
395,0.353207,-0.019785,-0.623605,-1.548763,V
396,-0.742471,-1.320023,-0.611769,-0.037037,H
397,-0.185165,-1.592803,-1.414953,-2.593146,C
398,0.452033,-1.240060,-0.894333,-0.669410,M
399,1.159015,0.121118,-0.484967,0.775445,G
400,0.319175,1.340450,-1.875172,0.115026,I
401,-0.779152,-0.194332,-0.886220,0.268661,S
402,0.195375,0.992461,-0.064070,-0.590275,N
403,-0.369569,-1.123516,0.579178,0.348272,U
404,0.841493,-1.165443,1.051950,-0.978955,Z
405,0.687863,0.419666,-0.376995,0.575780,D
406,-0.832294,-2.209152,-0.888148,-0.306881,H
407,-0.131257,0.076852,-0.224856,-0.650003,G
408,1.782078,-1.065185,0.808986,0.305320,M
409,0.206724,0.758939,0.381539,0.636596,U
410,-1.143726,0.108560,-0.033230,-0.208117,C
411,-0.835954,-0.102877,0.798254,-0.195861,Q
412,-0.174638,-1.485022,1.047942,-0.335396,D
413,-1.193637,0.919154,1.000582,-0.670620,L
414,0.528068,0.488692,-1.819308,-0.693187,P
415,-0.078271,-0.345610,1.397080,3.087155,E
416,-0.404217,0.129411,0.227653,-2.115920,R
417,-1.412668,1.213316,-0.150606,-0.713754,Q
418,1.222123,0.111172,1.514637,2.035678,D
419,-1.114748,0.097676,-0.114288,-0.157297,K
420,-1.098145,-0.361811,-1.803781,-0.354987,E
421,-0.413709,1.070895,-0.474774,-2.286718,F
422,1.173125,0.369642,-0.107302,0.447717,M
423,-0.018303,0.397245,-1.268036,0.123329,U
424,-0.219156,1.227721,-1.063402,-0.873410,S
425,0.030496,-1.322099,-1.114685,0.746260,K
426,-1.979300,0.747910,-1.072743,0.239247,C
427,0.324400,-0.357911,0.631057,-0.654080,C
428,0.291862,0.899465,1.960691,1.127358,E
429,-0.693868,0.454972,0.455061,0.760773,V
430,0.253740,0.467693,1.085786,0.097983,U
431,0.326799,1.629010,0.161358,-0.394798,I
432,-0.124618,-1.172592,-0.013472,0.390523,F
433,-1.773032,1.261922,-0.905732,-0.653766,X
434,2.082349,-1.157320,-0.221827,0.674401,Q
435,1.193956,-0.336898,0.414699,1.491920,M
436,0.163061,-0.007729,-1.384647,0.963089,H
437,0.593557,-2.940389,0.655901,0.194736,P
438,2.239743,0.460071,1.084527,0.489941,I
439,-0.894350,-0.683960,-0.535613,0.856617,G
440,-0.123728,-0.356472,-0.613797,0.189288,M
441,0.800410,0.754291,1.188913,0.708304,D
442,-0.619236,0.313119,1.539607,-0.696152,N
443,-1.640267,-1.632558,-0.191048,-0.548440,C
444,1.096753,1.880435,-0.715917,0.336160,B
445,0.659246,0.937570,-1.607560,-0.762725,B
446,0.872919,-0.629905,-0.154925,0.700736,V
447,-0.264515,-2.003862,0.635418,-1.239258,U
448,1.481239,-0.478577,0.598058,-0.849387,J
449,1.800511,1.238946,0.209659,-0.491636,N
450,-1.564913,-0.217193,-1.084534,-1.016249,D
451,0.392416,-0.508964,-0.025574,-1.769076,N
452,-0.964295,0.935882,-0.870268,-0.213712,Q
453,-0.626190,0.015379,0.955096,-1.032869,W
454,-0.967068,2.437770,0.479787,-0.173887,K
455,-0.169449,0.149597,1.069608,0.189628,D
456,0.262561,0.193590,0.850898,-0.137372,P
457,0.184813,0.460420,0.738080,0.110889,Y
458,0.522244,-0.816404,0.191507,0.068371,L
459,0.382255,-0.803977,2.241135,-0.410281,E
460,-0.139446,-0.450189,0.000528,0.601207,I
461,-0.996232,-0.061543,1.270700,0.630816,I
462,1.235122,-0.320092,-0.396662,0.482524,I
463,0.392465,0.629594,1.149423,0.573132,W
464,-1.553759,0.817890,0.376410,-0.902052,R
465,0.138299,-0.339915,2.467204,-0.992358,U
466,-0.878483,-1.412536,-1.743848,0.119018,U
467,-1.082367,0.788549,0.176487,0.082330,C
468,-2.562334,-0.191028,2.412615,0.784604,X
469,0.617030,0.367389,-0.109109,-0.488598,A
470,1.053612,-0.723463,0.120757,1.547570,Z
471,0.231648,1.097842,-0.191706,-0.691618,I
472,-0.354041,-0.573602,0.101856,1.549020,T
473,0.955708,1.919001,1.882362,0.786313,M
474,0.670220,0.676966,-2.273496,-0.936289,D
475,0.297895,0.566281,0.150135,0.635730,M
476,-0.175854,1.661470,0.020886,0.230701,O
477,1.470321,0.325432,0.662481,-0.866227,G
478,0.338815,-0.994180,0.393269,1.412995,K
479,0.021382,0.377728,1.122864,0.517544,O
480,-0.234020,0.466358,0.987335,-0.075951,I
481,1.114516,1.113949,-0.004825,0.773013,I
482,-1.089080,-0.155821,0.037862,0.584573,O
483,0.455619,-0.147857,0.107695,0.411786,V
484,0.281735,1.568339,-0.170180,-1.314067,C
485,-0.200749,-1.232142,0.447862,0.371094,L
486,-1.598124,0.462173,2.024310,-1.363174,W
487,-0.822432,1.316959,-0.836628,1.583226,P
488,-0.084890,-1.243324,-0.961488,0.830852,A
489,1.485868,-0.220572,0.306014,1.054666,E
490,-1.250408,0.604515,0.882333,-0.452090,H
491,-0.607526,0.760770,-0.557280,-1.456838,L
492,-0.796171,0.338994,-0.757992,-1.566350,B
493,-0.649373,1.321304,1.419603,-0.600424,C
494,-0.084563,-0.672278,0.782837,-1.439774,M
495,0.406477,-1.579616,1.378710,-1.244831,R
496,0.487164,0.657524,0.441421,-0.864951,I
497,0.105894,0.584413,1.976441,-1.564242,C
498,0.926244,-0.473571,-0.217952,-1.110652,W
499,1.411051,-0.405410,-0.360891,-3.471430,T
500,-0.656309,-0.792694,0.746101,-1.625036,N
501,-2.604214,0.198948,0.436739,0.404295,D
502,1.037047,0.740591,-0.952179,0.422655,Y
503,-0.604492,-0.048810,0.368484,-0.179510,U
504,0.690237,-2.558368,-0.731513,-1.023196,T
505,0.679373,-1.148794,0.666313,0.462591,W
506,0.853725,0.236326,-0.570671,0.734218,S
507,-0.460263,-1.135461,1.459732,-1.720103,Q
508,-1.289986,-1.799464,0.133257,-1.749220,Q
509,0.650450,-1.503080,1.051948,-0.998061,U
510,1.456710,0.311814,-0.847430,0.538806,Q
511,1.081942,0.995532,0.816073,-0.074211,W
512,-0.204924,-0.067878,0.641816,-1.113853,U
513,0.439501,0.778937,0.457773,1.674492,W
514,-1.880443,0.493172,1.291404,-3.386814,D
515,-0.293967,-0.071599,-1.517874,-0.357029,S
516,0.306410,1.842479,-2.332838,1.349740,E
517,0.698828,0.420973,0.492019,-0.526035,C
518,0.187164,0.229926,1.054129,1.493583,B
519,0.376574,0.809858,-0.649392,0.772095,X
520,0.027054,0.101861,-0.662785,-0.496305,A
521,-1.776235,0.408653,-1.029372,-1.352670,Q
522,-0.112247,0.702954,0.264644,0.948121,X
523,-0.703655,0.931980,1.813344,-0.657432,E
524,0.164744,-0.040518,0.700926,0.855153,W
525,-0.359769,-1.326048,-0.413465,0.260281,X
526,-0.507076,-1.668452,-1.328315,0.077474,F
527,0.388170,0.038727,-1.337709,0.239331,T
528,-1.846188,-0.929511,-1.496529,-0.650024,J
529,1.705643,0.119243,0.801164,2.110873,F
530,0.087578,0.395936,-0.083384,0.185693,V
531,-0.401059,1.870663,0.114622,-0.875900,U
532,0.811397,-1.148263,0.818778,1.537932,I
533,-1.647798,0.169442,-0.133889,-1.006979,U
534,-0.214910,0.276793,1.664317,0.724724,Y
535,0.142056,-0.500881,0.621219,-0.162880,I
